"sample","total_sequences","percent_gc","avg_sequence_length","median_sequence_length","percent_duplicates","percent_fails","clean_sample"
"PX_Cd0_Rep1_R1",59705773,43,150,150,81.47,27.27,"PX_Cd0_Rep1"
"PX_Cd0_Rep1_R2",59705773,43,150,150,80.54,18.18,"PX_Cd0_Rep1"
"PX_Cd0_Rep2_R1",62307226,42,150,150,80.33,27.27,"PX_Cd0_Rep2"
"PX_Cd0_Rep2_R2",62307226,42,150,150,79.47,27.27,"PX_Cd0_Rep2"
"PX_Cd0_Rep3_R1",68879402,42,150,150,81.29,27.27,"PX_Cd0_Rep3"
"PX_Cd0_Rep3_R2",68879402,42,150,150,81.2,18.18,"PX_Cd0_Rep3"
"WT_Cd0_Rep1_R1",65892333,42,150,150,81.54,27.27,"WT_Cd0_Rep1"
"WT_Cd0_Rep1_R2",65892333,42,150,150,81.11,27.27,"WT_Cd0_Rep1"
"WT_Cd0_Rep2_R1",85258405,43,150,150,85.17,27.27,"WT_Cd0_Rep2"
"WT_Cd0_Rep2_R2",85258405,43,150,150,83.98,27.27,"WT_Cd0_Rep2"
"WT_Cd0_Rep3_R1",73663370,42,150,150,83.57,27.27,"WT_Cd0_Rep3"
"WT_Cd0_Rep3_R2",73663370,42,150,150,82.77,27.27,"WT_Cd0_Rep3"
