"cluster","WT_count","KO_count","log2FC","p_value","padj"
"0",1675,1613,-0.0544146570768545,0.29256784259806,0.468108548156896
"1",1138,1359,0.256044898460809,5.70619208089891e-07,4.56495366471913e-06
"2",805,894,0.151286048181338,0.0162500837584494,0.0433335566891985
"3",742,758,0.0307786615502883,0.585404918208751,0.780539890945001
"4",628,613,-0.0348774852008456,0.743926244796485,0.850201422624554
"5",581,496,-0.228198043017654,0.00937955523555834,0.0300145767537867
"6",247,288,0.221557769857635,0.0642056598125645,0.114143395222337
"7",344,181,-0.926418867618892,5.49086856423377e-13,8.78538970277403e-12
"8",229,228,-0.00631377393220228,1,1
"9",268,187,-0.519194730570136,0.00016187948620244,0.000863357259746348
"10",169,208,0.299560281858908,0.0369365748166632,0.0844264567238017
"11",109,103,-0.081683797593708,0.729663222193674,0.850201422624554
"12",104,103,-0.0139391909578737,1,1
"13",72,80,0.15200309344505,0.514783245913933,0.748775630420266
"14",67,39,-0.780686971595524,0.00820437483299453,0.0300145767537867
"15",19,8,-1.24792751344359,0.0520433105644414,0.104086621128883
